name,image,description,href,related_links,Group,Size,Popularity,Temperament,Exercise Needs,Approx. Life Span,Grooming,Coat Length,Hypo Allergenic,AKC Recognized In,Owned by President
Newfoundland,sample_images\{2b84273a-8727-4fc1-b672-532db095eb46}.jpg,The Newfoundland is a  Extra large dog.,http://www.akc.org/breeds/newfoundland/,,Working,Extra large,Very Popular,"Friendly
Obedient",High,10,Regular,Long,No,1886,
Parson Russell Terrier,sample_images\{3fb87dc7-8342-41f0-9fd5-fdc83cf0fb81}.jpg,The Parson Russell Terrier is a  Tiny dog.,http://www.akc.org/breeds/parson_russell_terrier/,,Terrier,Tiny,Common,"Active
Friendly
Intelligent
Obedient",Low,15,Very little,Short,No,1997,
Pekingese,sample_images\{3b7521a9-b05f-430d-8d39-2367034ac4b2}.jpg,The Pekingese is a  Tiny dog.,http://www.akc.org/breeds/pekingese/,,Toy,Tiny,Very Popular,"Friendly
Strong-willed",Minimal,15,Frequent,Long,No,1906,
Pharaoh Hound,sample_images\{0838df43-9f94-4e12-96b2-1b461ca900c3}.jpg,The Pharaoh Hound is a  Medium dog.,http://www.akc.org/breeds/pharaoh_hound/,,Hound,Medium,Rare,"Active
Friendly
Obedient",High,14,Very little,Short,No,1983,
Pyrenean Shepherd,sample_images\{576f2c53-5bd7-47a2-b0eb-ff63900e914a}.jpg,The Pyrenean Shepherd is a  Medium dog.,http://www.akc.org/breeds/pyrenean_shepherd/,,Herding,Medium,Rare,"Alert
Intelligent
Strong-willed",High,17,Frequent,Long,No,2009,
Scottish Terrier,sample_images\{5d495f0f-a637-4839-9352-94d6f6278308}.jpg,The Scottish Terrier is a  Tiny dog.,http://www.akc.org/breeds/scottish_terrier/,,Terrier,Tiny,Very Popular,"Active
Intelligent",Medium,15,Regular,Long,Yes,1885,"""Barney"" - President George W. Bush, ""Fala"" - President Franklin Roosevelt"
Siberian Husky,sample_images\{24011bbf-e079-4ea5-96db-790a2a98ee72}.jpg,The Siberian Husky is a  Medium dog.,http://www.akc.org/breeds/siberian_husky/,,Working,Medium,Most Popular,"Alert
Friendly
Gentle
Intelligent",High,15,Moderate,Medium,No,1930,
Smooth Fox Terrier,sample_images\{15baaac3-9f9f-4c85-be52-6da92e8f8e57}.jpg,The Smooth Fox Terrier is a  Tiny dog.,http://www.akc.org/breeds/smooth_fox_terrier/,,Terrier,Tiny,Common,"Active
Alert
Friendly
Intelligent
Protective",High,15,Occasional,Short,No,1885,"""Ben Ben"", ""Sonnie"" - President Hoover"
Sussex Spaniel,sample_images\{010209a1-977c-45e9-a2ef-fb01e1c80df7}.jpg,The Sussex Spaniel is a  Small dog.,http://www.akc.org/breeds/sussex_spaniel/,,Sporting,Small,Rare,"Friendly
Loyal
Responsive",Medium,15,Moderate,Medium,No,1878,
Tibetan Terrier,sample_images\{09428d5a-aee6-4f25-831e-4aafae34b547}.jpg,The Tibetan Terrier is a  Small dog.,http://www.akc.org/breeds/tibetan_terrier/,,Non-sporting,Small,Common,Friendly,Medium,15,Moderate,Long,Yes,1973,
Vizsla,sample_images\{1567367f-2ba9-4cd8-979f-6d1219bd1c46}.jpg,The Vizsla is a  Medium dog.,http://www.akc.org/breeds/vizsla/,,Sporting,Medium,Very Popular,"Gentle
Loyal
Reserved",High,15,Occasional,Short,No,1960,
